늘푸른식당,326,압구정,4.6,0.2
늘푸른집,32,노원,4.1,0
능라도,14394,정발산,3.9,0.285714286
능이버섯백숙,6583,종로3가,4.4,0.173913043
니뽕내뽕,73576,청구,4.1,0
니엔테,2478,녹번,0,2
닌자초밥,7061,산성,0,1
닐리,7244,숭실대입구,3.7,0.666666667
다과상사,2394,봉천,3.4,0.5
다낭월남쌈,60,선바위,0,12345
다다복,563,언주,4.1,0.090909091
다랑손칼국수,3,논현,4.2,0.166666667
다래현,15,성수,3.6,0.75
다로베,1891,명학,0,12345
다루,4978,고덕,0,12345
다루다,740,선릉,4.7,0.166666667
다리원,853,강남,4.7,0.130434783
다모아,1482,방이,3.9,0.571428571
다빈치벡터파크,242,신이문,0,0
다슬이네,2604,염창,0,1
다시열린하얀집,347,고덕,0,2
다시오는순대국,None,서울,3.4,0.2
다시올치킨,217,월곡,0,0
다우홈,None,방학,0,0
다원국수,156,송탄,0,0
다이꼬지,1987,서울대입구,4.4,0.2
다이닝살룬,243,석촌,4.7,0.166666667
다정한망각,244,안산,0,12345
다찜,500,초지,0,12345
다채,2596,장승배기,4.2,0
닥터로빈,27265,답십리,3.3,2
단골구함,459,안산,0,12345
단풍애김밥,455,신길온천,0,12345
달달애,678,언주,4.3,0.416666667
달밭소곱창,220,도림천,0,0.25
달의둥지,1804,한양대,3.3,0.75
달인꽈배기,1015,석촌,4.3,0.411764706
달콤슈가,38,창신,0,12345
달콤퐁당,545,행당,3.3,1.333333333
달콤한서랍,809,신목동,3.3,0.4
달콤한순간,727,정부과천청사,0,0
달팽이커피집,113,효창공원앞,3.6,0.333333333
달펍오크그릴플러스펍,28,학여울,0,1
닭강정총각,26,인천,3.9,0.333333333
닭진미강원집,119,올림픽공원,0,0
닭한마리,81323,소요산,0,12345
닭한마리감자탕,396,뚝섬,4.6,0.127659574
닭한마리칼국수,9390,직산,0,0
담다베이커리,1533,청구,0,0
담소,23606,새절,0,0.25
담소사골순대,4792,구로,0,0
담케이크,1031,둔촌동,3.6,0.142857143
당고개아구찜,None,행당,0,0
당도,11826,충무로,4.4,0.285714286
당산옛날곱창,813,까치산,0,0
대가떡집,30,용답,3.8,0.6
대가쭈꾸미,378,직산,0,12345
대게축제,2872,온수,0,12345
대관령감자탕,38,용답,2.9,4
대구원조까미생막창누네서네,None,독산,0,2
대도닭강정,151,새절,0,0.5
대동관,1717,수락산,0,0
대로부속집,5,개봉,0,0.333333333
대림떡집,4,대방,0,0.333333333
대림원조마늘통닭,18,동작,3.2,1.428571429
대명오리,167,오목교,4,0.066666667
대박왕곱창,281,사평,3.2,0.75
대복중화요리,10,응암,0,0
대성각,423,개롱,3.7,0.333333333
대성집,3179,올림픽공원,0,3
대양숯불갈비,42,목동,3.1,2
대왕곱창,1693,하계,2.9,0
대우부대찌개,525,남성,0,0
대원,47704,독립문,3.4,0.8
대원각,328,남한산성입구,0,12345
대원갈비,568,보문,0,0
